IATA code,Lat Decimal Degrees,Long Decimal Degrees
AAA,-17.353,-145.51
AAE,36.822,7.809
AAH,50.823,6.187
AAL,57.093,9.849
AAO,9.429,-64.471
AAR,56.304,10.619
ABA,53.74,91.385
ABD,30.365,48.233
ABI,32.411,-99.682
ABJ,5.26,-3.926
ABM,-10.951,142.459
ABQ,35.04,-106.609
ABS,22.376,31.612
ABT,20.296,41.634
ABV,9.007,7.263
ABX,-36.068,146.958
ABZ,57.204,-2.2
ACA,16.757,-99.753
ACC,5.603,-0.168
ACE,28.945,-13.605
ACH,47.485,9.561
ACK,41.253,-70.06
ACT,31.611,-97.23
ACY,39.458,-74.577
ADA,36.982,35.28
ADA,37.002,35.426
ADB,38.292,27.157
ADD,8.977,38.8
ADH,34.804,-96.671
ADJ,31.972,35.991
ADK,51.878,-176.646
ADL,-34.945,138.531
ADM,34.303,-97.019
ADQ,57.75,-152.494
ADW,38.811,-76.867
ADX,56.373,-2.868
ADZ,12.583,-81.711
AEH,13.847,20.844
AEP,-34.559,-58.416
AER,43.446,39.947
AES,62.56,6.11
AEX,31.327,-92.548
AEY,65.66,-18.072
AFA,-34.588,-68.403
AFL,-9.866,-56.106
AFY,38.726,30.601
AGA,30.381,-9.546
AGB,48.425,10.932
AGF,44.175,0.591
AGH,56.296,12.847
AGP,36.674,-4.499
AGQ,38.602,21.351
AGR,27.156,77.961
AGS,33.37,-81.964
AGU,21.705,-102.318
AGV,9.553,-69.238
AGX,10.823,72.176
AGZ,-29.282,18.814
AHB,18.24,42.656
AHO,40.632,8.291
AHU,35.177,-3.839
AIG,45.154,-89.111
AIN,70.613,-159.86
AIT,-18.825,-159.774
AJA,41.924,8.803
AJL,23.746,92.803
AJN,-12.132,44.43
AJO,29.785,40.1
AJR,65.59,19.282
AJU,-10.984,-37.07
AJY,16.965,7.997
AKD,20.699,77.056
AKF,24.179,23.314
AKJ,43.671,142.447
AKL,-37.008,174.792
AKN,58.677,-156.649
AKR,7.247,5.301
AKR,41.038,-81.467
AKT,34.59,32.988
AKX,50.245,57.203
AKY,20.133,92.872
ALA,43.352,77.04
ALB,42.748,-73.803
ALC,38.282,-0.558
ALF,69.977,23.366
ALG,36.691,3.215
ALI,27.741,-98.027
ALL,44.051,8.127
ALP,36.181,37.224
ALR,-45.212,169.373
ALY,31.184,29.949
ALJ,-28.575,16.533
AMA,35.219,-101.706
AMB,-13.188,48.988
AMD,23.075,72.632
AMI,-8.561,116.094
AMM,31.722,35.993
AMQ,-3.709,128.09
AMS,52.309,4.764
ANB,33.588,-85.858
ANC,61.174,-149.996
AND,34.495,-82.709
ANF,-23.444,-70.445
ANG,45.729,0.221
ANK,39.95,32.689
ANM,-14.999,50.32
ANN,55.042,-131.572
ANR,51.19,4.463
ANS,-13.706,-73.35
ANU,17.137,-61.792
ANX,69.293,16.144
AOC,50.982,12.506
AOJ,40.734,140.691
AOK,35.421,27.146
AOL,-29.689,-57.152
AOO,40.296,-78.32
AOR,6.194,100.403
APB,-14.739,-68.411
APG,39.466,-76.169
APL,-15.106,39.282
APW,-13.83,-172.008
AQA,-21.812,-48.133
AQI,28.335,46.125
AQJ,29.611,35.018
AQP,-16.341,-71.583
ARA,30.038,-91.884
ARI,-18.348,-70.339
ARK,-3.368,36.633
ARN,59.652,17.919
ART,43.992,-76.022
ARU,-21.141,-50.425
ARW,46.176,21.262
ASB,37.992,58.363
ASD,24.698,-77.796
ASF,46.283,48.006
ASJ,28.431,129.712
ASK,6.903,-5.366
ASP,-23.807,133.902
ASR,38.77,35.495
ASU,-25.24,-57.519
ASW,23.964,32.82
ATA,-9.347,-77.598
ATF,-1.212,-78.574
ATI,-30.401,-56.508
ATL,33.64,-84.427
ATM,-3.254,-52.254
ATQ,31.707,74.799
ATR,20.507,-13.043
AUA,12.501,-70.015
AUC,7.069,-70.737
AUF,47.85,3.497
AUG,44.321,-69.797
AUH,24.433,54.651
AUR,44.891,2.422
AUS,30.194,-97.67
AVB,46.032,12.596
AVI,22.027,-78.789
AVN,43.907,4.902
AVV,-38.039,144.469
AWZ,31.337,48.762
AXA,18.205,-63.055
AXD,40.856,25.956
AXM,4.454,-75.765
AXP,22.442,-73.971
AXR,-15.248,-146.616
AXT,39.616,140.219
AYP,-13.155,-74.204
AYT,36.901,30.792
AZD,31.905,54.276
AZI,24.428,54.458
AZR,27.837,-0.186
BAB,39.136,-121.436
BAD,32.502,-93.663
BAG,16.375,120.619
BAH,26.271,50.634
BAK,40.468,50.047
BAL,37.929,41.116
BAQ,10.889,-74.781
BAU,-22.345,-49.054
BAX,53.364,83.542
BAY,47.658,23.47
BBA,-45.916,-71.689
BBI,20.244,85.818
BBJ,51.193,14.52
BBK,-17.833,25.162
BBO,10.389,44.941
BBS,51.324,-0.848
BBT,4.221,15.786
BBU,44.503,26.102
BBY,5.847,20.649
BCA,20.366,-74.506
BCD,10.643,122.929
BCM,46.522,26.91
BCN,41.297,2.078
BCT,26.378,-80.107
BDE,48.728,-94.612
BDH,26.532,54.822
BDJ,-3.442,114.761
BDL,41.939,-72.683
BDM,40.318,27.977
BDN,24.841,68.838
BDO,-6.901,107.576
BDQ,22.336,73.226
BDR,41.163,-73.126
BDS,40.657,17.947
BDT,4.253,20.975
BDU,69.056,18.54
BEB,57.481,-7.363
BED,42.47,-71.289
BEF,11.989,-83.774
BEG,44.818,20.309
BEL,-1.379,-48.476
BEN,32.097,20.269
BEQ,52.343,0.773
BES,48.448,-4.418
BET,60.78,-161.838
BEV,31.287,34.723
BEW,-19.796,34.907
BEY,33.813,35.489
BFH,-25.405,-49.232
BFI,47.53,-122.302
BFL,35.433,-119.057
BFM,30.626,-88.068
BFN,-29.092,26.302
BFO,-21.008,31.578
BFS,54.657,-6.216
BFX,5.537,10.354
BGA,7.126,-73.185
BGC,41.868,-6.712
BGF,4.398,18.519
BGI,13.074,-59.492
BGN,51.2,6.132
BGO,60.293,5.218
BGR,44.807,-68.828
BGU,4.784,22.781
BGX,-31.39,-54.112
BGY,45.674,9.704
BHD,54.618,-5.873
BHE,-41.518,173.87
BHH,19.984,42.623
BHI,-38.725,-62.169
BHJ,23.288,69.67
BHK,39.775,64.48
BHM,33.563,-86.753
BHO,23.285,77.337
BHU,21.752,72.185
BHX,52.454,-1.748
BIA,42.554,9.483
BIF,31.849,-106.38
BIG,63.994,-145.721
BIK,-1.19,136.108
BIM,25.7,-79.264
BIO,43.301,-2.911
BIQ,43.468,-1.523
BIR,26.483,87.264
BIV,6.528,21.989
BIX,30.411,-88.924
BJA,36.712,5.07
BJF,70.6,29.692
BJL,13.338,-16.652
BJM,-3.324,29.318
BJO,-22.769,-64.315
BJR,11.608,37.321
BJX,20.993,-101.481
BJZ,38.891,-6.821
BKF,39.702,-104.751
BKH,22.022,-159.787
BKI,5.937,116.051
BKK,13.912,100.607
BKO,12.533,-7.95
BKS,-3.864,102.341
BKY,-2.309,28.809
BLA,10.107,-64.689
BLE,60.422,15.515
BLI,48.792,-122.537
BLK,53.772,-3.029
BLL,55.74,9.152
BLQ,44.534,11.29
BLR,12.95,77.668
BLV,38.545,-89.835
BLZ,-15.679,34.974
BMA,59.354,17.941
BMK,53.595,6.709
BMM,2.076,11.493
BMU,-8.539,118.687
BNA,36.124,-86.678
BND,27.218,56.378
BNE,-27.384,153.118
BNI,6.317,5.599
BNN,65.459,12.214
BNS,8.619,-70.221
BOB,-16.444,-151.751
BOC,9.341,-82.251
BOD,44.828,-0.716
BOG,4.701,-74.147
BOH,50.78,-1.843
BOI,43.564,-116.223
BOJ,42.569,27.514
BOM,19.089,72.868
BON,12.131,-68.268
BOO,67.269,14.363
BOP,5.958,15.637
BOS,42.364,-71.005
BOU,47.058,2.37
BOY,11.16,-4.331
BPC,6.039,10.123
BPN,-1.268,116.894
BPT,29.951,-94.021
BPY,-16.742,44.481
BQH,51.331,0.033
BQN,18.495,-67.129
BQS,50.422,127.41
BRC,-41.151,-71.157
BRE,53.047,8.787
BRI,41.138,16.761
BRM,10.043,-69.358
BRN,46.914,7.497
BRO,25.907,-97.426
BRQ,49.151,16.694
BRS,51.383,-2.719
BRU,50.902,4.499
BRV,53.503,8.573
BRW,71.285,-156.766
BRX,18.251,-71.12
BSB,-15.862,-47.913
BSC,6.203,-77.394
BSF,19.76,-155.554
BSG,1.905,9.806
BSK,34.793,5.738
BSR,30.549,47.662
BTH,1.121,104.119
BTI,70.134,-143.577
BTJ,5.523,95.42
BTK,56.371,101.699
BTR,30.533,-91.149
BTS,48.17,17.212
BTT,66.915,-151.528
BTU,3.172,113.044
BTV,44.472,-73.153
BTZ,40.232,29.009
BUD,47.437,19.256
BUF,42.94,-78.732
BUG,-12.609,13.404
BUN,3.819,-76.99
BUQ,-20.017,28.618
BUR,34.201,-118.359
BUX,1.566,30.221
BUZ,28.945,50.834
BVA,49.454,2.113
BVB,2.846,-60.69
BVC,16.137,-22.889
BVE,45.151,1.469
BVH,-12.694,-60.098
BWA,27.506,83.416
BWE,52.319,10.556
BWF,54.13,-3.256
BWI,39.175,-76.668
BWN,4.946,114.928
BWU,-33.924,150.988
BXE,14.847,-12.468
BXO,11.895,-15.654
BYH,35.964,-89.943
BYK,7.739,-5.074
BYM,20.396,-76.621
BYS,35.28,-116.63
BYU,49.984,11.638
BZE,17.539,-88.308
BZI,39.619,27.925
BZK,53.214,34.176
BZO,46.461,11.326
BZR,43.324,3.356
BZV,-4.252,15.253
BZZ,51.75,-1.584
CAB,-5.597,12.188
CAC,-25,-53.501
CAE,33.939,-81.119
CAG,39.251,9.054
CAI,30.122,31.406
CAJ,6.232,-62.854
CAM,-20.007,-63.527
CAN,23.184,113.266
CAP,19.732,-72.195
CAR,46.871,-68.018
CAS,33.553,-7.661
CAV,-11.894,22.916
CAW,-21.698,-41.302
CAX,54.938,-2.809
CAY,4.82,-52.36
CBB,-17.421,-66.177
CBG,52.205,0.175
CBL,8.122,-63.537
CBM,33.644,-88.444
CBN,-6.756,108.539
CBQ,4.976,8.347
CBR,-35.308,149.194
CBV,15.469,-90.407
CCF,43.216,2.306
CCH,-46.582,-71.698
CCJ,11.136,75.955
CCP,-36.773,-73.063
CCS,10.603,-66.991
CCU,22.655,88.447
CCZ,25.417,-77.881
CDB,55.206,-162.724
CDC,37.701,-113.099
CDG,49.013,2.55
CDJ,-8.348,-49.301
CDP,14.51,78.773
CDS,34.434,-100.288
CDU,-34.04,150.687
CDV,60.492,-145.477
CEB,7.165,124.21
CEF,42.198,-72.534
CEG,53.178,-2.978
CEK,55.303,61.507
CEN,27.392,-109.833
CEP,-16.143,-62.026
CEQ,43.542,6.953
CER,49.65,-1.47
CET,47.082,-0.877
CEW,30.779,-86.522
CFD,30.716,-96.331
CFE,45.786,3.169
CFG,22.15,-80.414
CFR,49.173,-0.45
CFS,-30.321,153.116
CFU,39.602,19.912
CGB,-15.653,-56.117
CGH,-23.627,-46.655
CGK,-6.126,106.656
CGN,50.866,7.143
CGO,34.519,113.841
CGP,22.249,91.813
CGR,-20.469,-54.672
CGY,8.414,124.611
CHA,35.035,-85.204
CHC,-43.489,172.532
CHH,-6.202,-77.856
CHM,-9.151,-78.524
CHQ,35.532,24.149
CHR,46.862,1.731
CHS,32.899,-80.04
CHT,-43.81,-176.457
CHX,9.459,-82.517
CIA,41.799,12.595
CIC,39.795,-121.858
CIJ,-11.04,-68.783
CIS,-2.767,0
CIT,42.364,69.479
CIW,12.699,-61.342
CIX,-6.787,-79.828
CJB,11.031,77.044
CJC,-22.499,-68.904
CJS,31.636,-106.429
CJU,33.511,126.493
CKG,29.719,106.641
CLE,41.412,-81.85
CLF,52.755,1.357
CLL,30.588,-96.364
CLN,-7.32,-47.459
CLO,3.543,-76.381
CLQ,19.277,-103.577
CLT,35.214,-80.943
CLY,42.531,8.793
CLJ,46.785,23.686
CMB,7.181,79.884
CME,18.654,-91.799
CMF,45.638,5.88
CMG,-19.012,-57.673
CMH,39.998,-82.892
CMN,33.368,-7.588
CMR,48.11,7.359
CMW,21.42,-77.847
CND,44.362,28.488
CNF,-19.634,-43.969
CNG,45.658,-0.318
CNM,32.337,-104.263
CNQ,-27.445,-58.762
CNS,-16.886,145.755
CNW,31.638,-97.074
COC,-31.297,-57.996
COF,28.235,-80.61
COG,5.072,-76.676
COH,26.33,89.467
COO,6.357,2.384
COR,-31.324,-64.208
COS,38.806,-104.7
COT,28.458,-99.22
COU,38.818,-92.219
CPC,-40.075,-71.137
CPE,19.817,-90.5
CPH,55.618,12.656
CPO,-27.296,-70.414
CPR,42.908,-106.464
CPT,-33.965,18.602
CQF,50.962,1.955
CRA,44.318,23.889
CRD,-45.785,-67.466
CRL,50.459,4.454
CRP,27.77,-97.501
CRQ,-17.652,-39.253
CRV,38.997,17.08
CSB,45.42,22.253
CSF,49.253,2.519
CSK,12.41,-16.746
CSX,28.189,113.219
CTA,37.467,15.066
CTB,48.608,-112.376
CTC,-28.596,-65.752
CTG,10.442,-75.513
CTL,-26.413,146.262
CTM,18.504,-88.327
CTS,42.775,141.692
CTT,43.252,5.785
CTU,30.578,103.947
CUC,7.928,-72.511
CUE,-2.889,-78.984
CUF,44.546,7.622
CUL,24.764,-107.474
CUM,10.45,-64.13
CUN,21.036,-86.877
CUP,10.66,-63.262
CUR,12.189,-68.96
CUU,28.703,-105.964
CUZ,-13.536,-71.939
CVG,39.046,-84.662
CVJ,18.835,-99.262
CVM,23.704,-98.956
CVS,34.383,-103.322
CVT,52.37,-1.48
CWB,-25.528,-49.176
CWL,51.397,-3.343
CXB,21.452,91.964
CXI,1.986,-157.35
CXJ,-29.197,-51.188
CXL,32.669,-115.513
CXO,30.352,-95.414
CXP,-7.645,109.034
CYB,19.687,-79.883
CYI,23.462,120.393
CYO,21.616,-81.546
CYR,-34.456,-57.771
CYS,41.156,-104.812
CZE,11.415,-69.681
CZL,36.277,6.624
CZM,20.522,-86.926
CZS,-7.6,-72.769
CZU,9.332,-75.286
DAC,23.843,90.398
DAD,16.044,108.199
DAL,32.847,-96.852
DAM,33.411,36.516
DAR,-6.878,39.203
DAV,8.391,-82.435
DAY,39.902,-84.219
DBO,23.834,86.425
DBO,-32.217,148.575
DBV,42.561,18.268
DCA,38.852,-77.037
DCF,15.337,-61.392
DCI,39.354,8.972
DCM,43.556,2.289
DEB,47.489,21.615
DED,30.187,78.18
DEL,28.566,77.103
DEN,39.858,-104.667
DES,-5.696,53.654
DET,42.409,-83.01
DEZ,35.285,40.176
DFW,32.896,-97.037
DGO,24.124,-104.528
DGT,9.334,123.302
DHA,26.265,50.152
DHN,31.321,-85.449
DHR,52.923,4.781
DHT,36.023,-102.547
DIE,-12.349,49.292
DIJ,47.269,5.09
DIR,9.625,41.854
DIS,-4.208,12.661
DIY,37.894,40.201
DJB,-1.638,103.644
DJE,33.875,10.775
DJG,24.293,9.452
DJJ,-2.577,140.516
DJO,6.792,-6.473
DKR,14.739,-17.49
DLA,4.006,9.719
DLC,38.966,121.538
DLE,47.039,5.427
DLF,29.359,-100.778
DLG,59.045,-158.503
DLH,46.842,-92.194
